,tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres_x,primaryName,film_2,film_3,film_4,averageRating,original_language,overview,popularity,release_date,runtime,spoken_languages,production_companies_name,region,poster_ok,clean_overview
41570,tt0101828,movie,Eternal Fist,Eternal Fist,1992,95,"Action,Sci-Fi",Don Nakaya Neilsen,tt0101475,tt0112529,Pas de film,4.7,en,"In a post-apocalyptic world, a man helps a beautiful young girl get revenge against a roving gang of renegades that destroyed her village.",0.68,1992-08-25,90.0,['en'],"['Davian International Ltd.', 'Action International Pictures']",GB,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,in a postapocalyptic world a man helps a beautiful young girl get revenge against a roving gang of renegades that destroyed her village
41571,tt0101834,movie,A Grande Arte,A Grande Arte,1991,104,"Drama,Thriller",Tinoco,tt0260151,tt0260240,tt0138596,6.1,pt,"Peter Mandrake, a North-American photojournalist becomes embroiled in South America's dangerous underworld of pimps, drug gangs and arms smugglers when he sets out to find the killer of a local call girl.",1.78,1991-06-01,100.0,"['es', 'en', 'pt']","['J&M Entertainment', 'Alpha Films']",CA,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,peter mandrake a northamerican photojournalist becomes embroiled in south americas dangerous underworld of pimps drug gangs and arms smugglers when he sets out to find the killer of a local call girl
41574,tt0101860,movie,Fatal Instinct,Fatal Instinct,1992,95,Thriller,Joanne Lara,tt0104922,tt0171855,tt0075592,4.1,en,A homicide detective (Michael Madsen) falls for a resort owner (Laura Johnson) suspected of slaying a playboy developer.,2.238,1992-09-09,95.0,['en'],['Moviestore Entertainment'],CA,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,a homicide detective michael madsen falls for a resort owner laura johnson suspected of slaying a playboy developer
41585,tt0101863,movie,"The Favour, the Watch and the Very Big Fish","The Favour, the Watch and the Very Big Fish",1991,89,Comedy,Gilette Barbier,tt0066192,tt0110900,tt0082182,6.1,en,"A farce, Hoskins plays a photographer who specializes in religious pictures who searches for a model for Jesus. He does a favor for a friend and finds himself doing a voice track for a porno movie with Natasha Richardson. Hoskins finds his model for Jesus in Jeff Goldblum and a romantic triangle begins in which Goldblum finds adoring crowds believing him to be Jesus and then begins to believe it himself.",2.112,1991-05-01,89.0,"['en', 'es']","['Fildebroc', 'Les Films Ariane', 'Sovereign Pictures', 'Umbrella']",FR,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,a farce hoskins plays a photographer who specializes in religious pictures who searches for a model for jesus he does a favor for a friend and finds himself doing a voice track for a porno movie with natasha richardson hoskins finds his model for jesus in jeff goldblum and a romantic triangle begins in which goldblum finds adoring crowds believing him to be jesus and then begins to believe it himself
41600,tt0101889,movie,The Fisher King,The Fisher King,1991,137,"Comedy,Drama,Fantasy",Peter Corby,tt0179861,tt0083099,tt0117194,7.5,en,Two troubled men face their terrible destinies and events of their past as they join together on a mission to find the Holy Grail and thus to save themselves.,12.822,1991-09-20,138.0,['en'],['TriStar Pictures'],US,https://media.themoviedb.org/t/p/w220_and_h330_face/5mb1IV53luUNTRyF3TSC77X1KZs.jpg,two troubled men face their terrible destinies and events of their past as they join together on a mission to find the holy grail and thus to save themselves
41606,tt0101891,movie,The Five Heartbeats,The Five Heartbeats,1991,121,"Drama,Music",Kathleen Mitchell,tt0101041,tt0769301,tt0103517,7.6,en,"In the early 1960s, a quintet of hopeful, young African-American men form an amateur vocal group called The Five Heartbeats. After an initially rocky start, the group improves, turns pro, and rises to become a top flight music sensation. Along the way, however, the guys learn many hard lessons about the reality of the music industry.",6.601,1991-03-29,121.0,['en'],['20th Century Fox'],CA,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,in the early s a quintet of hopeful young africanamerican men form an amateur vocal group called the five heartbeats after an initially rocky start the group improves turns pro and rises to become a top flight music sensation along the way however the guys learn many hard lessons about the reality of the music industry
41609,tt0101912,movie,Frankie and Johnny,Frankie & Johnny,1991,118,"Comedy,Drama,Romance",Gordon Belson,Pas de film,Pas de film,Pas de film,6.8,en,"When Johnny is released from prison following a forgery charge, he quickly lands a job as a short-order cook at a New York diner. Following a brief fling with waitress Cora, Frankie develops an attraction for Cora's friend and fellow waitress Frankie. While Frankie resists Johnny's charms initially, she eventually relents when her best friend, Tim, persuades her to give Johnny a chance.",11.406,1991-10-11,118.0,['en'],['Paramount'],US,https://media.themoviedb.org/t/p/w220_and_h330_face/zSOh7hriX4mQNVxhCz1yVY4aykn.jpg,when johnny is released from prison following a forgery charge he quickly lands a job as a shortorder cook at a new york diner following a brief fling with waitress cora frankie develops an attraction for coras friend and fellow waitress frankie while frankie resists johnnys charms initially she eventually relents when her best friend tim persuades her to give johnny a chance
41644,tt0101917,movie,Freddy's Dead: The Final Nightmare,Freddy's Dead: The Final Nightmare,1991,89,"Fantasy,Horror",Lindsey Fields,tt0928410,tt0462128,tt0105934,4.7,en,"Just when you thought it was safe to sleep, Freddy Krueger returns in this sixth installment of the Nightmare on Elm Street films, as psychologist Maggie Burroughs, tormented by recurring nightmares, meets a patient with the same horrific dreams. Their quest for answers leads to a certain house on Elm Street -- where the nightmares become reality.",26.289,1991-09-05,89.0,['en'],['New Line Cinema'],US,https://media.themoviedb.org/t/p/w220_and_h330_face/e4qh58n2WaG4Gyh9VhjOUeN9Mhv.jpg,just when you thought it was safe to sleep freddy krueger returns in this sixth installment of the nightmare on elm street films as psychologist maggie burroughs tormented by recurring nightmares meets a patient with the same horrific dreams their quest for answers leads to a certain house on elm street  where the nightmares become reality
41656,tt0101921,movie,Fried Green Tomatoes,Fried Green Tomatoes,1991,130,Drama,Gailard Sartain,tt0095647,tt0086066,tt0191397,7.7,en,"Amidst her own personality crisis, southern housewife Evelyn Couch meets Ninny, an outgoing old woman who tells her the story of Idgie Threadgoode and Ruth Jamison, two young women who experienced hardships and love in Whistle Stop, Alabama in the 1920s.",14.312,1991-12-27,130.0,['en'],"['Universal Pictures', 'Act III Productions', 'Avnet/Kerner Productions', 'Electric Shadow Productions', 'Fried Green Tomatoes Productions']",US,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,amidst her own personality crisis southern housewife evelyn couch meets ninny an outgoing old woman who tells her the story of idgie threadgoode and ruth jamison two young women who experienced hardships and love in whistle stop alabama in the s
41663,tt0101970,movie,Grand Isle,Grand Isle,1991,94,"Drama,Romance",Jeffrey Barach,tt0115111,Pas de film,Pas de film,5.1,en,"A married woman in 1890s Louisiana meets a handsome Creole, reawakening her sexual desires, and is tempted into an affair with the man.",0.99,1991-08-23,112.0,['en'],"['Turner Pictures', 'Alive Films']",CA,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,a married woman in s louisiana meets a handsome creole reawakening her sexual desires and is tempted into an affair with the man
